,Cell type,Expression level
1,IL1,510.02
2,IL2_DV,401.25
3,RME_LR,372.785
4,IL2_LR,301.808
5,URY,287.596
6,SMD,247.512
7,RMD_LR,237.325
8,RIC,223.294
9,RIG,206.341
10,OLQ,203.798
11,OLL,188.84
12,PVD,186.863
13,FLP,184.374
14,RME_DV,178.909
15,SIA,178.19
16,AVB,166.258
17,URA,164.286
18,AVA,156.663
19,RIP,141.352
20,RIA,139.113
21,NSM,132.962
22,ASER,130.055
23,I5,119.923
24,LUA,115.362
25,SIB,114.632
26,PHC,113.398
27,AIZ,109.035
28,ADE,108.734
29,RIH,107.139
30,M2,106.88
31,PVC,105.993
32,PVP,105.738
33,RMD_DV,100.09
34,DA,99.05
35,AIA,98.811
36,AVD,96.062
37,I1,95.768
38,ADA,93.73
39,I4,90.017
40,PVN,89.136
41,VB02,88.535
42,AIM,86.378
43,AUA,86.356
44,SAB,84.868
45,RIM,83.503
46,VB,82.817
47,SMB,82.273
48,PQR,82.032
49,AS,81.989
50,I2,75.943
51,VA,69.169
52,VD_DD,68.447
53,AVJ,64.937
54,ADF,64.586
55,PVM,60.102
56,DB,58.774
57,AVF,58.75
58,PVW,56.541
59,PLM,55.718
60,M5,55.241
61,URX,54.468
62,RIF,53.832
63,M4,51.568
64,RMH,49.775
65,RIB,48.328
66,DVB,48.233
67,AWB,47.636
68,AQR,46.617
69,ALM,45.451
70,VB01,45.199
71,AVM,44.344
72,AVE,43.734
73,M3,39.41
74,AIY,37.748
75,RMF,36.883
76,AVK,36.082
77,PDB,34.103
78,CEP,34.071
79,I3,33.882
80,DVC,30.575
81,ASK,30.484
82,ASH,29.839
83,M1,29.402
84,AIB,29.003
85,AVH,28.616
86,RIV,28.612
87,AWC_ON,28.049
88,DA9,26.343
89,PHB,26.121
90,AIN,25.093
91,ASG,24.614
92,ASEL,24.1
93,DB01,23.9
94,ADL,22.812
95,ALA,22.793
96,PHA,22.574
97,VA12,22.197
98,RIS,18.286
99,BAG,16.178
100,VC,15.822
101,MC,15.028
102,PDE,14.533
103,ASI,14.389
104,AVL,14.338
105,PVR,12.249
106,RID,11.522
107,HSN,11.469
108,SDQ,11.283
109,PVQ,10.578
110,AWA,6.651
111,PVT,4.713